species	locus	numQs
152	Porzana_ziegleri_0.12	seqs_DNA_seqfrom_Porzana_ziegleri_0.12	20828
153	Porzana_ralphorum_0.12	seqs_DNA_seqfrom_Porzana_ralphorum_0.12	20828
154	Fulica_prisca_0.1	seqs_DNA_seqfrom_Fulica_prisca_0.1	20828
155	Porzana_astrictocarpus_2.1	seqs_DNA_seqfrom_Porzana_astrictocarpus_2.1	20828
156	Porzana_menehune_0.01	seqs_DNA_seqfrom_Porzana_menehune_0.01	20828
157	Porzana_servernsi_0.01	seqs_DNA_seqfrom_Porzana_servernsi_0.01	20828
158	Porzana_keplerorum_0.01	seqs_DNA_seqfrom_Porzana_keplerorum_0.01	20828
159	Rallina_forbesi_0	seqs_DNA_seqfrom_Rallina_forbesi_0	20828
160	Sarothrura_rufa_0	seqs_DNA_seqfrom_Sarothrura_rufa_0	20828
161	Heliornis_fulica_0	seqs_DNA_seqfrom_Heliornis_fulica_0	20828
162	Psophia_crepitans_0	seqs_DNA_seqfrom_Psophia_crepitans_0	20828
163	Aramus_guarauna_0	seqs_DNA_seqfrom_Aramus_guarauna_0	20828
164	Balearica_regulorum_0	seqs_DNA_seqfrom_Balearica_regulorum_0	20828
165	Grus_canadensis_0	seqs_DNA_seqfrom_Grus_canadensis_0	20828
166	Ardeotis_cori_0	seqs_DNA_seqfrom_Ardeotis_cori_0	20828
167	Aegotheles_insignis_0	seqs_DNA_seqfrom_Aegotheles_insignis_0	20828
168	Nyctibius_griseus_0	seqs_DNA_seqfrom_Nyctibius_griseus_0	20828
169	Tapera_naevia_0	seqs_DNA_seqfrom_Tapera_naevia_0	20828
170	Centropus_bengalensis_0	seqs_DNA_seqfrom_Centropus_bengalensis_0	20828
171	Coccyzus_melacoryphus_0	seqs_DNA_seqfrom_Coccyzus_melacoryphus_0	20828
172	Cuculus_optatus_0	seqs_DNA_seqfrom_Cuculus_optatus_0	20828
173	Ciconia_nigra_0	seqs_DNA_seqfrom_Ciconia_nigra_0	20828
174	Leptoptilos_crumeniferus_0	seqs_DNA_seqfrom_Leptoptilos_crumeniferus_0	20828
175	Theristicus_caerulescens_0	seqs_DNA_seqfrom_Theristicus_caerulescens_0	20828
176	Spheniscus_humboldti_0	seqs_DNA_seqfrom_Spheniscus_humboldti_0	20828
177	Gavia_immer_0	seqs_DNA_seqfrom_Gavia_immer_0	20828
178	Anas_superciliosa_0	seqs_DNA_seqfrom_Anas_superciliosa_0	20828
179	Anser_canagicus_0	seqs_DNA_seqfrom_Anser_canagicus_0	20828
180	Aythya_valisineria_0	seqs_DNA_seqfrom_Aythya_valisineria_0	20828
181	Dendrocygna_viduata_0	seqs_DNA_seqfrom_Dendrocygna_viduata_0	20828
182	Oxyura_jamaicensis_0	seqs_DNA_seqfrom_Oxyura_jamaicensis_0	20828
183	Anseranas_semipalmata_0	seqs_DNA_seqfrom_Anseranas_semipalmata_0	20828
184	Bonasa_umbellus_0	seqs_DNA_seqfrom_Bonasa_umbellus_0	20828
185	Gallus_gallus_0	seqs_DNA_seqfrom_Gallus_gallus_0	20828
186	Rollulus_rouloul_0	seqs_DNA_seqfrom_Rollulus_rouloul_0	20828
187	Struthio_camelus_0	seqs_DNA_seqfrom_Struthio_camelus_0	20828
188	Dromaius_novaehollandiae_0	seqs_DNA_seqfrom_Dromaius_novaehollandiae_0	20828
189	Tinamus_major_0	seqs_DNA_seqfrom_Tinamus_major_0	20828
190	Eudromia_elegans_0	seqs_DNA_seqfrom_Eudromia_elegans_0	20828
